,Date_imp,Category_name,name,price,merchant,brand,currency,weight
53,2017-05-18 05:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,239.99,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
54,2017-10-10 22:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,299.98,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
55,2017-09-12 03:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,299.98,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
56,2017-09-06 18:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,299.98,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
57,2017-08-30 06:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,299.98,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
58,2017-09-18 16:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,299.98,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
59,2017-07-31 23:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,299.98,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
60,2017-08-01 07:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,299.98,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
61,2017-07-26 20:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,299.98,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
62,2017-06-01 19:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,299.98,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
63,2017-06-01 12:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,299.98,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
64,2017-05-09 11:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,299.98,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
65,2017-05-01 20:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,299.98,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
66,2017-05-18 05:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,299.98,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
67,2017-03-30 06:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,299.98,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
68,2017-03-10 22:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,299.98,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
69,2017-03-04 10:00:00,"remote, control, tv",Universal Remote Control - 48-Device Universal Remote - Black,299.98,Bestbuy.com,Universal Remote Control,USD,1.1 pounds
70,2017-11-18 10:00:00,"sound, speaker, home",Acoustimass 6 Series V Home Theater Speaker System (Black),499.0,bhphotovideo.com,Bose,USD,1.18 lb
71,2017-11-18 10:00:00,"sound, speaker, home",Acoustimass 6 Series V Home Theater Speaker System (Black),699.0,bhphotovideo.com,Bose,USD,1.18 lb
72,2017-08-29 04:00:00,"sound, speaker, home",Acoustimass 6 Series V Home Theater Speaker System (Black),699.0,bhphotovideo.com,Bose,USD,1.18 lb
73,2017-08-22 04:00:00,"sound, speaker, home",Acoustimass 6 Series V Home Theater Speaker System (Black),699.0,bhphotovideo.com,Bose,USD,1.18 lb
74,2017-08-19 02:00:00,"sound, speaker, home",Acoustimass 6 Series V Home Theater Speaker System (Black),699.0,bhphotovideo.com,Bose,USD,1.18 lb
75,2017-12-06 22:00:00,"sound, speaker, home",Acoustimass 6 Series V Home Theater Speaker System (Black),599.0,bhphotovideo.com,Bose,USD,1.18 lb
76,2017-12-06 21:00:00,"sound, speaker, home",Acoustimass 6 Series V Home Theater Speaker System (Black),599.0,bhphotovideo.com,Bose,USD,1.18 lb
77,2017-12-04 20:00:00,"sound, speaker, home",Acoustimass 6 Series V Home Theater Speaker System (Black),599.0,bhphotovideo.com,Bose,USD,1.18 lb
78,2017-07-31 23:00:00,"memory, computer, component",Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),139.99,Bestbuy.com,Corsair,USD,3.2 ounces
79,2017-07-26 21:00:00,"memory, computer, component",Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),139.99,Bestbuy.com,Corsair,USD,3.2 ounces
80,2017-10-10 13:00:00,"memory, computer, component",Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),162.99,Bestbuy.com,Corsair,USD,3.2 ounces
